ID_REF,Brain_CG_1,Brain_CG_10,Brain_CG_11,Brain_CG_12,Brain_CG_13,Brain_CG_14,Brain_CG_2,Brain_CG_3,Brain_CG_4,Brain_CG_5,Brain_CG_6,Brain_CG_7,Brain_CG_8,Brain_CG_9,Brain_NG_1,Brain_NG_10,Brain_NG_11,Brain_NG_12,Brain_NG_13,Brain_NG_14,Brain_NG_2,Brain_NG_3,Brain_NG_4,Brain_NG_5,Brain_NG_6,Brain_NG_7,Brain_NG_8,Brain_NG_9
1427_g_at,10,29.65,32.76,23.8,21.84,61,54.9,59.92,45.04,10,32.99,20.69,87.76,29.63,10,40.5,10,10.93,10,17.26,10,17.49,14.19,14.75,15.84,13.04,23.26,33.19
1451_s_at,25.9,12.33,120.2,10,10.41,61.42,13.32,264.25,10,10,10,10,15.02,10,10,36.9,10,20.67,10,12.91,10,10,10,19.48,36.72,71.28,238.38,10
1456_s_at,22.6,16.27,35.29,53.63,10,44.87,87.76,47.18,26.66,44.27,23.21,10,63.44,16.6,10,45.85,10,30.29,21.48,10,10,26.69,17.96,19.12,10,10,31.98,20.85
1470_at,194.4,101.02,115.75,168.98,10,310.01,170.23,213.95,216.75,211.49,162.43,81.09,254.77,122.25,44.9,100.76,10,28.34,291.55,45.44,40,145.1,153.98,171.88,156.94,170.35,123.26,44.34
1486_at,10,10,68.5,204.96,10,10,23.05,37.31,140.74,83.19,10,10,244.79,10,10,37.96,10,10,10,67.94,10,107.14,56.52,62.75,94.14,131.86,40.99,13.5
1491_at,28.8,10,38.97,10,10,88.07,195.23,113.85,10,10,30.65,10,18.94,10,10,44.87,10,10,15.74,10,10,51.05,10,10,10,10,17.5,10
1507_s_at,12,11.68,81.62,43.78,10,102.23,63,54.35,56.38,10,10,16.83,26.9,10,10,17.94,10,73.97,10,10,10,23.85,11.93,15.71,11.38,10,10,27.04
1511_at,10,349.62,12.73,28.26,165.1,40.18,50.85,30.05,85.55,235.77,10,70.96,10,107.6,144.4,26.89,65.46,35.68,10,57.91,10,26.74,21.79,26.93,42.15,10,90.47,27.97
1516_g_at,17.2,51.56,84.23,189.43,34.29,42.58,50.07,52.92,62.58,66.87,101.13,22.57,46.4,37.44,10,27.4,22.25,35.03,445.03,25.53,10,35.07,77.8,69.53,62.85,53.7,17.21,25.53
1517_at,74.9,10,92.36,25.84,10,10.41,10,10,15.52,40.81,85.46,49.74,10,20.67,49.6,10,10,22.46,10,27,52.64,10,10,12.77,17.29,12.65,10,10
1519_at,10,79.63,64.28,55.68,78.16,107.43,34.65,32.41,73.29,10,24.33,10,22.64,56.81,11.5,13.79,85.29,28.72,10,11.36,10,10,10,10,10.77,10,10,31.76
1535_at,20.8,74.52,21.63,82.35,10.2,46.53,10,10,49.49,52.43,28.92,28.84,34.97,82.04,13.1,47.78,54.41,18.38,73.71,35.12,10,32.83,33.16,10,34.27,13.81,33.95,26.54
1537_at,169.2,97.34,673.89,208.4,48.98,87.44,356.98,64.48,444.71,10,2057.1,274,375.6,179.71,233.8,775.15,46.67,14.68,35.17,139.95,165.78,341.79,473.67,630.84,74.36,842.23,56.63,182.92
1544_at,10,10,47.48,72.13,10,14.89,40.03,14.94,15.94,98.16,48.75,10.97,32.95,22.79,10,16.19,10,54.66,26.65,33.71,10,25.37,22.73,31.76,38.43,23.47,10.35,10.48
1558_g_at,10.8,190.62,31.68,14.97,112.85,36.33,26.56,19.58,31.95,31.6,11,10,25.22,54.53,13.2,15.14,50.54,17.73,25.01,14.98,10,14.24,17.46,10,10.72,16.14,10,10
